  1 PF02384.19 ; N6_Mtase ; N-6 DN  97.0 5.8E-07 1.1E-10   68.9   0.0   79  108-186    16-98  (320)
  2 PF19587.2 ; DUF6094 ; Uncharac  96.4 6.2E-06 1.2E-09   63.0   0.0   89  119-211   123-211 (330)
  3 PF05891.15 ; Methyltransf_PK ;  95.4 8.9E-05 1.7E-08   52.3   0.0   69  140-210    55-125 (214)
  4 PF00398.23 ; RrnaAD ; Ribosoma  95.4 9.3E-05 1.7E-08   53.1   0.0   61  118-183    10-70  (254)
  5 PF03602.18 ; Cons_hypoth95 ; C  95.3 0.00013 2.4E-08   49.0   0.0   63  120-185    18-80  (177)
  6 PF01234.20 ; NNMT_PNMT_TEMT ;   95.2 0.00014 2.6E-08   51.8   0.0   43  140-184    56-98  (260)
  7 PF11599.11 ; AviRa ; RRNA meth  95.1 0.00016 2.9E-08   51.4   0.0   66  120-185    28-97  (230)
  8 PF02390.20 ; Methyltransf_4 ;   95.0 0.00019 3.7E-08   47.5   0.0   43  141-184     2-44  (181)
  9 PF01135.22 ; PCMT ; Protein-L-  94.9 0.00025 4.7E-08   48.7   0.0   58  126-183    57-114 (214)
 10 PF07091.14 ; FmrO ; Ribosomal   94.9 0.00025 4.8E-08   50.8   0.0   70  140-211   102-175 (248)
 11 PF05401.14 ; NodS ; Nodulation  94.8 0.00028 5.2E-08   48.7   0.0   42  141-185    44-85  (201)
 12 PF04445.16 ; SAM_MT ; Putative  94.8 0.00029 5.3E-08   50.0   0.0   39  142-183    73-111 (230)
 13 PF03141.19 ; Methyltransf_29 ;  94.7  0.0003 5.6E-08   55.8   0.0   85  126-210    99-183 (501)
 14 PF06325.16 ; PrmA ; Ribosomal   94.7 0.00031 5.7E-08   52.8   0.0   44  140-185   172-215 (308)
 15 PF05971.15 ; Methyltransf_10 ;  94.7 0.00032 5.9E-08   52.1   0.0   44  141-185   104-147 (308)
 16 PF13679.9 ; Methyltransf_32 ;   94.6 0.00036 6.8E-08   43.8   0.0   45  140-184    25-74  (144)
 17 PF09445.13 ; Methyltransf_15 ;  94.6 0.00037   7E-08   45.3   0.0   67  142-211     2-77  (164)
 18 PF01739.21 ; CheR ; CheR methy  94.2 0.00056 1.1E-07   44.9   0.0   44  140-183    27-75  (186)
 19 PF11968.11 ; Bmt2 ; 25S rRNA (  94.2 0.00061 1.1E-07   48.4   0.0   35  141-178    53-88  (221)
 20 PF05175.17 ; MTS ; Methyltrans  94.1 0.00068 1.3E-07   43.3   0.0   44  140-184    30-73  (167)
 21 PF01795.22 ; Methyltransf_5 ;   94.1 0.00073 1.3E-07   50.7   0.0   46  140-185    20-65  (310)
 22 PF08123.16 ; DOT1 ; Histone me  93.9 0.00079 1.5E-07   45.5   0.0   44  140-184    42-85  (205)
 23 PF09243.13 ; Rsm22 ; Mitochond  93.9  0.0008 1.5E-07   48.5   0.0   46  140-185    33-78  (272)
 24 PF01596.20 ; Methyltransf_3 ;   93.9 0.00081 1.5E-07   46.2   0.0   46  140-185    48-93  (211)
 25 PF01170.21 ; UPF0020 ; Putativ  93.9 0.00085 1.6E-07   46.6   0.0   40  120-161    10-49  (209)
 26 PF05185.19 ; PRMT5 ; PRMT5 arg  93.7 0.00098 1.9E-07   43.0   0.0   44  141-184    60-107 (170)
